fy,firm,state,city,penalty_usd,source_url,raw
FY2017,"Custom Express Renovations, Inc",MO,,
FY2017,"Morrow Contracting and Construction, LLC",MO,,
FY2017,"Maria C. Soto Peres, d/b/a AKE Contracting",MO,,
FY2017,"Calico Homes, LLC",MO,,
FY2017,"Alliance Certified Restoration, LLC",MO,,
FY2017,"Birner St. Louis, LLC, d/b/a Renewal by Andersen of St. Louis",MO,
FY2017,Dana and Lori Schultz,NE,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,Air-Tight Remodeling,WA,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,"Diamond Homes, LLC",ID,,
FY2017,Black Butte Construction Inc,ID,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,"All Ways Under Pressure, LLC",WA,,
FY2017,S&P Construction,WA,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,"K Falls Construction, LLC",CT,,
FY2017,"Green Island Group, Inc",NY,,
FY2017,"New York Lead Paint Experts, Inc",NY,,
FY2017,"Pelham Bay Construction, LLC",NY,,
FY2017,"Bluecrest Construction, Inc",NY,,
FY2017,Quality Plus Contracting,NJ,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,"Think Painting, Inc",OH,,
FY2017,"Steve Rewerts, d/b/a Steve’s Construction",NE,,
FY2017,"Advantes Development, LLC",MO,,
FY2017,Bryan J. Timmermeyer,MO,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,Julie and Alan Sommer,MO,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,"Centric Projects, LLC",MO,,
FY2017,"Mountain States Construction, LLC",CO,,
FY2017,Forte Distinctive Homes,CO,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,"JW Builders Group, Inc",CO,,
FY2017,"Transworld Construction, Inc",CA,,
FY2017,Rainforest Renovation,AK,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,Poehls Construction,AK,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,Simi Makihele and Simi Roofing & Construction,AK,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,"Aspen Construction and Design, LLC",ID,,
FY2017,"High Desert Building Services, Inc",ID,,
FY2017,Lighthouse Homes and Remodeling,ID,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,"MD Restoration and Construction, Inc",ID,,
FY2017,Roy Briley Property Services,AK,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,"Juan C. Garcia, d/b/a Master Roofing and Restoration",CT,,
FY2017,"Rosmarins Land Holdings, LLC and Camp Rosmarin, Inc",NY,
FY2017,"RFN Enterprise, Inc",VA,,
FY2017,Thomas and Judith Murray,WA,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,Lima Refining Co,OH,,1750000,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,"Cincinnati Renewable Fuels, LLC",OH,,400000
FY2018,Lead-based Paint Criminal Prosecutions Stephen Craig,CT,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities-2018
FY2018,"Bitner Brothers Construction Company, Inc",PA,,
FY2018,Lead-based Paint Civil Settlements/Orders Actions $1 Billion or More New York City Housing Authority,NY,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities-2018
FY2018,"Actions $150,000 or More Magnolia Waco Properties, LLC, d/b/a Magnolia Homes",TX
FY2018,"Actions $90,000 or More William C. Rott & Sons",NY,,
FY2018,Baxter Construction,NJ,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities-2018
FY2018,"Actions $50,000 or More Bryn Coed Farms Co",PA,,
FY2018,"Advanced Window, Inc",MD,,
