npdes_id,facility_name,address,city,state,zip,lat,lng,lifetime_qtrs_any_snc,current_pollution_snc_streak,first_snc_qtr,enforcement_status
IL0080088, CARBON HILL STP,720 W JUDSON ST,CARBON HILL,IL,60416,41.298889,-88.300278,18,10,20221,no_formal_or_informal_action_since_2023-05
MO0095176,URBANA WWTF,0.13 MI NE OF THE INTERSECTION OF OAK ST,URBANA,MO,65767,37.846862,-93.16447,18,8,20172,no_formal_or_informal_action_since_2023-05
MO0108685,ROLLING MEADOWS COMMUNITY LLC,END OF COTTONWOOD DRIVE,FORSYTH,MO,65653,36.7206365,-93.119059,23,4,20181,no_formal_or_informal_action_since_2023-05
ILR006971,REPUBLIC SERVICES INC,5050 W LAKE ST,MELROSE PARK,IL,60160,+41.999722,-87.996667,4,4,20253,no_formal_or_informal_action_since_2023-05
ARG640085,CLINTON WATER & SEWER,749 WATER ROAD,CLINTON,AR,72031,35.542500,-92.369444,10,4,20073,no_formal_or_informal_action_since_2023-05
NY0267082,LAUNDRY PLACE,411-B HORSEBLOCK ROAD,FARMINGVILLE,NY,11738,40.835833,-73.048611,48,23,20092,no_formal_or_informal_action_since_2023-05
WVG550734,NATIONAL RADIO OBSERVATORY,155 OBSERVATORY DRIVE,GREEN BANK,WV,24944,38.4364,-79.8222,18,6,20211,no_formal_or_informal_action_since_2023-05
LAG540130,"MAGNOLIA WATER UTILITY OPERATING CO., LLC- WOODLAND ESTATES",NEXT TO 100 PAPERSHELL,BROUSSARD,LA,70898,30.1325,-91.984722,102,58,20004,no_formal_or_informal_action_since_2023-05
MO0092789,SHADY LANE MHP WWTF,12601 OLD HIGHWAY 66,ROLLA,MO,65401,37.9840872,-91.694814,21,0,20164,no_formal_or_informal_action_since_2023-05
ILG640107,RIDGE FARM WTP,100 NORTH ROAD,HUME,IL,61870,39.881667,-87.651667,44,8,19962,no_formal_or_informal_action_since_2023-05
WV0045543,RIPLEY WWTP,LAT: 38 49'30  LONG: 81 43'10 ,"RIPLEY, WV",WV,25271,38.825,-81.7194,44,3,20061,no_formal_or_informal_action_since_2023-05
MO0134791,EMORY CREEK RANCH WWTP,TERMINUS OF N WOODS WAY,BRANSON,MO,65616,36.748204,-93.243322,51,7,20114,no_formal_or_informal_action_since_2023-05
