npdes_id,facility_name,address,city,state,zip,lat,lng,lifetime_qtrs_any_snc,current_pollution_snc_streak,first_snc_qtr,enforcement_status
WV0114618,HUNTINGTON ALLOYS CORPORATION,3200 RIVERSIDE DRIVE,HUNTINGTON,WV,25705,38.4181,-82.3881,16,11,20123,no_formal_federal_action_since_2023-05;no_informal_action
IL0032735,"BOLINGBROOK WRF #2, VILLAGE OF",1000 WEST BOUGHTON ROAD,BOLINGBROOK,IL,60440,41.711111,-88.113889,31,3,19962,no_formal_federal_action_since_2023-05;no_informal_action
LA0074781,MAGNOLIA WATER UTILITY OPERATING COMPANY LLC - ILE DES CANNES,304 BELFAST ST,LAFAYETTE,LA,70583,30.20333,-92.10328,71,3,19964,no_formal_federal_action_since_2023-05;no_informal_action
WV0026271,CITY OF WILLIAMSON,240 PKWY DR.,WILLIAMSON,WV,25661,37.6731,-82.2936,40,11,19992,no_formal_federal_action_since_2023-05;no_informal_action
LAG560449,"QUICK BLVD APARTMENTS, LP - TANGI VILLAGE APARTMENTS",13080 QUICK BLVD,HAMMOND,LA,70000,30.523972,-90.513778,6,6,20251,no_formal_federal_action_since_2023-05;no_informal_action
LAG541525,CAMPBELL REALTY INVESTMENT GROUP LLC - DELUXE APARTMENTS,14071 CLUB DELUXE ROAD,HAMMOND,LA,70402,30.476389,-90.498611,10,8,20241,no_formal_federal_action_since_2023-05;has_informal_action
MOGDS0026,DEER RUN MEADOWS WWTP,0.5 MILES W OF HWY H AND HILL CREEK RD.,TROY,MO,63379,38.9940025,-91.019888,3,3,20254,no_formal_federal_action_since_2023-05;no_informal_action
WV0040371,WAR WWTP,"SR 16 NW SIDE OF CITY, LOWER EXCELSIOR BOTTOM",WAR,WV,24892,37.3117,-81.6958,12,9,20163,no_formal_federal_action_since_2023-05;no_informal_action
OH0133302,CORTLAND LOYAL ORDER OF MOOSE 1012,6400 STATE ROUTE 46,CORTLAND,OH,44410,41.392558,-80.734419,8,4,20232,no_formal_federal_action_since_2023-05;has_informal_action
LAG540105,"MAGNOLIA WATER UTILITY OPERATING CO., LLC- KINDCO",MEDA DR,LAFAYETTE,LA,70898,30.201111,-92.146944,101,101,20012,no_formal_federal_action_since_2023-05;no_informal_action
IDG130014,RIVERENCE PROVISIONS LLC - BOX CANYON FISH HATCHERY,4863 NORTH 1115 EAST ,BUHL,ID,83316,42.69958,-114.82400,12,6,20022,no_formal_federal_action_since_2023-05;has_informal_action
LAG780042,"SCHAMERHORN, INC.- SCHAMERHORN C&D LANDFILL",10443 HWY 8,LEESVILLE,LA,71446,31.171172,-93.163176,9,3,20212,no_formal_federal_action_since_2023-05;no_informal_action
KYGE40195,PREMIER ELKHORN COAL LLC (898-0969),JCT OF KY 610 & BURK BRANCH RD,MYRA,KY,41549,37.299444,-82.610278,28,3,20171,no_formal_federal_action_since_2023-05;has_informal_action
AKG572087,IVORY JACKS WW TREATMENT FACILITY,2581 GOLDSTREAM ROAD,FAIRBANKS,AK,99709,64.9131,-147.904,11,5,20174,no_formal_federal_action_since_2023-05;no_informal_action
NE0137596,CARDWELL RESERVE WASTEWATER TREATMENT FACILITY,SW 12TH AND WEST DENTON RD,LINCOLN,NE,68502,40.7412,-96.73982,18,6,20191,no_formal_federal_action_since_2023-05;has_informal_action
TX0106551,POLK STREET WWTP, APPROX 1 MI W OF THE INTERX OF FM 1244 & FM 933,WHITNEY,TX,76692,31.947222,-97.335833,49,0,20002,no_formal_federal_action_since_2023-05;has_informal_action
MO0132241,JAKES CREEK TRAIL AREA WWTF,WEST TERMINUS OF CHESTNUT LANE,INDIAN POINT,MO,65616,36.6470272,-93.337033,12,5,20211,no_formal_federal_action_since_2023-05;no_informal_action
MOGDS0055,"MAWC, VAN LOO ESTATES WWTF",3711 VIOLA VIEW,JEFFERSON CITY,MO,65101,38.500058,-92.139057,5,5,20252,no_formal_federal_action_since_2023-05;no_informal_action
NM0020150,CITY OF BELEN WWTP,1300 CONSERVANCY ROAD,BELEN,NM,87002,34.643361,-106.776694,12,4,19991,no_formal_federal_action_since_2023-05;no_informal_action
NY0006874,HOLCIM (US) INC - CATSKILL PLANT,134 EMBOUGHT RD,CATSKILL,NY,12414,42.165556,-73.909444,43,3,20003,no_formal_federal_action_since_2023-05;no_informal_action
LA0040142,IOTA TOWN OF -  WWTP,124 W ST JOSEPH AVE,IOTA,LA,70543,30.319167,-92.504167,22,10,19974,no_formal_federal_action_since_2023-05;has_informal_action
OH0144550,MAC'S CONVENIENCE STORE LLC DBA CIRCLE K #5592,1949 N CLEVELAND MASSILLON RD,BATH,OH,44313,41.1885417,-81.6361722,10,7,20222,no_formal_federal_action_since_2023-05;has_informal_action
